75-49=26,  1612,  10.9944,  162
95-21=74,  1612,  10.9944,  168
98-31=67,  1612,  10.9944,  172
57-26=31,  1611,  11.0012,  143
67-49=18,  1611,  11.0012,  136
71-25=46,  1611,  11.0012,  179
81-35=46,  1610,  11.0081,  169
50-34=16,  1609,  11.0149,  169
86-34=52,  1609,  11.0149,  123
67-28=39,  1608,  11.0218,  140
81-39=42,  1608,  11.0218,  182
79-51=28,  1607,  11.0286,  176
91-24=67,  1607,  11.0286,  172
91-27=64,  1607,  11.0286,  172
43-17=26,  1606,  11.0355,  140
43-18=25,  1606,  11.0355,  138
57-18=39,  1606,  11.0355,  144
65-47=18,  1606,  11.0355,  113
91-23=68,  1606,  11.0355,  198
86-14=72,  1605,  11.0424,  126
93-51=42,  1605,  11.0424,  162
68-45=23,  1604,  11.0493,  125
81-42=39,  1604,  11.0493,  159
82-13=69,  1604,  11.0493,  194
97-41=56,  1604,  11.0493,  166
43-15=28,  1603,  11.0561,  137
64-35=29,  1603,  11.0561,  158
65-28=37,  1603,  11.0561,  152
74-56=18,  1603,  11.0561,  132
78-46=32,  1603,  11.0561,  119
49-17=32,  1602,  11.0630,  146
50-32=18,  1602,  11.0630,  188
67-18=49,  1602,  11.0630,  155
67-48=19,  1602,  11.0630,  136
92-34=58,  1602,  11.0630,  152
95-34=61,  1602,  11.0630,  154
98-41=57,  1602,  11.0630,  190
83-24=59,  1601,  11.0700,  147
87-24=63,  1601,  11.0700,  123
79-26=53,  1600,  11.0769,  176
81-49=32,  1600,  11.0769,  163
85-24=61,  1600,  11.0769,  122
59-17=42,  1599,  11.0838,  156
59-46=13,  1599,  11.0838,  158
69-12=57,  1599,  11.0838,  153
69-28=41,  1599,  11.0838,  159
73-25=48,  1599,  11.0838,  137
76-41=35,  1599,  11.0838,  154
79-31=48,  1599,  11.0838,  184
60-21=39,  1598,  11.0907,  212
75-12=63,  1598,  11.0907,  167
85-61=24,  1598,  11.0907,  137
67-19=48,  1597,  11.0977,  155
75-62=13,  1597,  11.0977,  161
78-36=42,  1597,  11.0977,  112
81-45=36,  1597,  11.0977,  157
82-17=65,  1597,  11.0977,  141
82-47=35,  1597,  11.0977,  139
86-12=74,  1597,  11.0977,  126
98-42=56,  1597,  11.0977,  138
76-31=45,  1596,  11.1046,  149
83-29=54,  1596,  11.1046,  147
91-54=37,  1596,  11.1046,  164
47-18=29,  1595,  11.1116,  177
67-39=28,  1595,  11.1116,  158
71-46=25,  1595,  11.1116,  165
75-63=12,  1595,  11.1116,  139
81-36=45,  1595,  11.1116,  169
85-39=46,  1595,  11.1116,  140
86-52=34,  1595,  11.1116,  120
87-51=36,  1595,  11.1116,  160
79-53=26,  1594,  11.1186,  176
50-36=14,  1593,  11.1255,  152
67-38=29,  1593,  11.1255,  158
82-37=45,  1593,  11.1255,  137
82-67=15,  1593,  11.1255,  135
83-64=19,  1593,  11.1255,  120
57-36=21,  1592,  11.1325,  172
75-13=62,  1592,  11.1325,  144
78-13=65,  1592,  11.1325,  154
86-49=37,  1592,  11.1325,  160
95-61=34,  1592,  11.1325,  141
73-28=45,  1591,  11.1395,  131
82-69=13,  1591,  11.1395,  169
93-42=51,  1591,  11.1395,  152
39-24=15,  1590,  11.1465,  173
50-12=38,  1590,  11.1465,  177
60-13=47,  1590,  11.1465,  171
91-57=34,  1590,  11.1465,  166
92-38=54,  1590,  11.1465,  152
96-21=75,  1590,  11.1465,  176
60-48=12,  1589,  11.1536,  140
65-48=17,  1589,  11.1536,  130
86-54=32,  1589,  11.1536,  121
94-36=58,  1589,  11.1536,  154
98-37=61,  1589,  11.1536,  183
86-29=57,  1588,  11.1606,  169
69-17=52,  1587,  11.1676,  134
71-45=26,  1587,  11.1676,  165
74-58=16,  1587,  11.1676,  132
83-14=69,  1587,  11.1676,  169
65-38=27,  1586,  11.1747,  138
79-28=51,  1586,  11.1747,  188
79-41=38,  1586,  11.1747,  179
83-27=56,  1586,  11.1747,  137
59-16=43,  1585,  11.1817,  180
73-45=28,  1585,  11.1817,  135
78-63=15,  1585,  11.1817,  128
83-69=14,  1585,  11.1817,  118
12+36=48,  1584,  11.1888,  113
60-18=42,  1584,  11.1888,  172
60-43=17,  1584,  11.1888,  150
70-21=49,  1584,  11.1888,  233
87-63=24,  1584,  11.1888,  132
98-46=52,  1584,  11.1888,  131
60-31=29,  1583,  11.1958,  199
67-13=54,  1583,  11.1958,  141
81-46=35,  1583,  11.1958,  157
83-19=64,  1583,  11.1958,  169
86-74=12,  1583,  11.1958,  110
93-52=41,  1582,  11.2029,  174
94-71=23,  1582,  11.2029,  158
76-45=31,  1581,  11.2100,  167
83-54=29,  1581,  11.2100,  158
87-36=51,  1581,  11.2100,  160
98-61=37,  1581,  11.2100,  195
69-57=12,  1580,  11.2171,  143
86-27=59,  1580,  11.2171,  169
86-39=47,  1580,  11.2171,  168
91-28=63,  1580,  11.2171,  198
48+21=69,  1579,  11.2242,  165
82-65=17,  1579,  11.2242,  126
83-59=24,  1579,  11.2242,  150
95-24=71,  1579,  11.2242,  167
69-52=17,  1578,  11.2313,  168
50-14=36,  1577,  11.2384,  195
79-56=23,  1577,  11.2384,  202
18+27=45,  1576,  11.2456,  134
82-19=63,  1576,  11.2456,  194
82-45=37,  1576,  11.2456,  139
12+46=58,  1575,  11.2527,  114
47-15=32,  1575,  11.2527,  140
67-53=14,  1575,  11.2527,  120
83-26=57,  1575,  11.2527,  137
91-63=28,  1575,  11.2527,  169
32+16=48,  1574,  11.2598,  157
78-65=13,  1574,  11.2598,  134
85-36=49,  1574,  11.2598,  140
85-49=36,  1574,  11.2598,  149
91-67=24,  1574,  11.2598,  161
39-25=14,  1573,  11.2670,  133
70-41=29,  1573,  11.2670,  225
89-37=52,  1573,  11.2670,  157
94-38=56,  1573,  11.2670,  154
42+17=59,  1572,  11.2742,  181
47+21=68,  1572,  11.2742,  138
60-47=13,  1572,  11.2742,  150
69-48=21,  1572,  11.2742,  184
85-64=21,  1572,  11.2742,  121
86-37=49,  1572,  11.2742,  168
91-64=27,  1572,  11.2742,  161
70-12=58,  1571,  11.2813,  204
73-48=25,  1571,  11.2813,  127
82-15=67,  1571,  11.2813,  141
82-35=47,  1571,  11.2813,  137
85-12=73,  1571,  11.2813,  158
87-64=23,  1571,  11.2813,  137
98-51=47,  1571,  11.2813,  198
37+19=56,  1570,  11.2885,  248
67-54=13,  1570,  11.2885,  159
84-69=15,  1570,  11.2885,  139
85-13=72,  1570,  11.2885,  158
86-72=14,  1570,  11.2885,  116
95-71=24,  1570,  11.2885,  161
70-52=18,  1569,  11.2957,  174
97-46=51,  1569,  11.2957,  178
59-38=21,  1568,  11.3029,  158
67-14=53,  1568,  11.3029,  152
76-35=41,  1568,  11.3029,  157
97-51=46,  1568,  11.3029,  149
98-47=51,  1568,  11.3029,  202
17+39=56,  1567,  11.3101,  144
45+23=68,  1567,  11.3101,  180
84-19=65,  1567,  11.3101,  161
86-47=39,  1567,  11.3101,  160
16+32=48,  1566,  11.3174,  110
36+21=57,  1566,  11.3174,  143
40-23=17,  1566,  11.3174,  156
50-38=12,  1566,  11.3174,  194
95-64=31,  1566,  11.3174,  161
18+29=47,  1565,  11.3246,  132
41+27=68,  1565,  11.3246,  134
60-17=43,  1564,  11.3318,  171
97-32=65,  1564,  11.3318,  188
50-16=34,  1563,  11.3391,  195
59-28=31,  1563,  11.3391,  163
78-15=63,  1563,  11.3391,  154
98-67=31,  1563,  11.3391,  199
92-14=78,  1562,  11.3464,  188
92-54=38,  1562,  11.3464,  149
79-14=65,  1561,  11.3536,  164
19+37=56,  1560,  11.3609,  144
32+17=49,  1560,  11.3609,  212
39+17=56,  1560,  11.3609,  248
94-73=21,  1560,  11.3609,  156
98-23=75,  1559,  11.3682,  203
36+12=48,  1558,  11.3755,  158
87-56=31,  1558,  11.3755,  163
95-27=68,  1558,  11.3755,  193
19+27=46,  1556,  11.3901,  159
89-32=57,  1556,  11.3901,  162
79-38=41,  1555,  11.3974,  190
98-52=46,  1555,  11.3974,  159
83-57=26,  1554,  11.4048,  133
97-35=62,  1554,  11.4048,  171
40-27=13,  1553,  11.4121,  156
42+16=58,  1553,  11.4121,  155
96-25=71,  1553,  11.4121,  190
17+29=46,  1552,  11.4195,  159
28+17=45,  1552,  11.4195,  162
50-18=32,  1552,  11.4195,  178
12+37=49,  1551,  11.4268,  159
16+38=54,  1551,  11.4268,  127
79-15=64,  1551,  11.4268,  164
84-65=19,  1551,  11.4268,  136
38+21=59,  1550,  11.4342,  182
79-58=21,  1550,  11.4342,  187
94-56=38,  1550,  11.4342,  158
96-12=84,  1550,  11.4342,  138
52+17=69,  1549,  11.4416,  215
83-56=27,  1549,  11.4416,  143
85-46=39,  1549,  11.4416,  149
89-57=32,  1549,  11.4416,  165
91-68=23,  1549,  11.4416,  169
93-28=65,  1549,  11.4416,  168
94-16=78,  1549,  11.4416,  178
18+39=57,  1548,  11.4490,  135
31+26=57,  1548,  11.4490,  198
41+28=69,  1548,  11.4490,  164
85-73=12,  1548,  11.4490,  126
18+36=54,  1547,  11.4564,  103
38+19=57,  1547,  11.4564,  200
46+12=58,  1547,  11.4564,  156
85-72=13,  1547,  11.4564,  160
89-24=65,  1547,  11.4564,  146
93-25=68,  1547,  11.4564,  156
97-62=35,  1547,  11.4564,  195
98-56=42,  1547,  11.4564,  160
31+28=59,  1546,  11.4638,  200
29+17=46,  1544,  11.4786,  198
37+21=58,  1544,  11.4786,  159
40-13=27,  1544,  11.4786,  209
92-18=74,  1544,  11.4786,  188
28+41=69,  1543,  11.4861,  157
94-18=76,  1543,  11.4861,  178
21+37=58,  1542,  11.4935,  163
36+18=54,  1542,  11.4935,  173
84-15=69,  1542,  11.4935,  161
89-13=76,  1542,  11.4935,  155
92-58=34,  1542,  11.4935,  149
92-74=18,  1542,  11.4935,  126
14+38=52,  1541,  11.5010,  122
16+42=58,  1541,  11.5010,  108
27+19=46,  1541,  11.5010,  198
86-59=27,  1541,  11.5010,  177
89-52=37,  1541,  11.5010,  157
96-14=82,  1541,  11.5010,  135
97-56=41,  1541,  11.5010,  148
12+47=59,  1540,  11.5084,  143
38+27=65,  1540,  11.5084,  154
38+29=67,  1540,  11.5084,  177
39-14=25,  1540,  11.5084,  188
56+23=79,  1540,  11.5084,  219
60-39=21,  1540,  11.5084,  203
80-31=49,  1540,  11.5084,  237
17+28=45,  1539,  11.5159,  155
26+31=57,  1539,  11.5159,  164
43+25=68,  1539,  11.5159,  169
35+29=64,  1538,  11.5234,  171
21+47=68,  1537,  11.5309,  149
27+41=68,  1537,  11.5309,  143
40-17=23,  1537,  11.5309,  209
47+12=59,  1537,  11.5309,  222
53+26=79,  1537,  11.5309,  246
38+16=54,  1536,  11.5384,  143
98-57=41,  1536,  11.5384,  183
31+27=58,  1535,  11.5459,  160
34+27=61,  1535,  11.5459,  145
60-29=31,  1535,  11.5459,  205
70-49=21,  1535,  11.5459,  239
79-64=15,  1534,  11.5535,  136
94-58=36,  1534,  11.5535,  158
96-71=25,  1534,  11.5535,  177
25+43=68,  1533,  11.5610,  137
70-18=52,  1533,  11.5610,  204
70-29=41,  1533,  11.5610,  228
95-74=21,  1533,  11.5610,  165
32+46=78,  1532,  11.5685,  130
39+18=57,  1532,  11.5685,  229
70-14=56,  1532,  11.5685,  194
70-58=12,  1532,  11.5685,  205
95-28=67,  1532,  11.5685,  193
97-65=32,  1532,  11.5685,  202
21+36=57,  1531,  11.5761,  213
35+12=47,  1531,  11.5761,  234
39-15=24,  1531,  11.5761,  148
46+13=59,  1531,  11.5761,  167
79-48=31,  1531,  11.5761,  179
93-65=28,  1531,  11.5761,  156
16+29=45,  1530,  11.5837,  150
18+34=52,  1530,  11.5837,  122
18+49=67,  1530,  11.5837,  145
27+18=45,  1530,  11.5837,  183
28+31=59,  1530,  11.5837,  212
34+18=52,  1529,  11.5912,  177
79-65=14,  1529,  11.5912,  136
93-68=25,  1529,  11.5912,  156
12+35=47,  1528,  11.5988,  133
15+32=47,  1528,  11.5988,  168
43+16=59,  1528,  11.5988,  195
54+18=72,  1528,  11.5988,  168
80-24=56,  1528,  11.5988,  178
28+19=47,  1527,  11.6064,  205
86-57=29,  1527,  11.6064,  177
95-67=28,  1527,  11.6064,  172
32+15=47,  1525,  11.6216,  206
80-21=59,  1525,  11.6216,  244
92-78=14,  1525,  11.6216,  122
16+43=59,  1524,  11.6293,  162
16+27=43,  1523,  11.6369,  113
37+28=65,  1523,  11.6369,  161
80-41=39,  1523,  11.6369,  232
45+18=63,  1522,  11.6445,  173
89-16=73,  1522,  11.6445,  141
89-25=64,  1522,  11.6445,  132
19+38=57,  1521,  11.6522,  155
28+37=65,  1521,  11.6522,  148
37+12=49,  1521,  11.6522,  237
80-51=29,  1521,  11.6522,  240
98-25=73,  1521,  11.6522,  203
19+28=47,  1520,  11.6599,  151
27+31=58,  1520,  11.6599,  159
43+19=62,  1519,  11.6675,  172
80-26=54,  1519,  11.6675,  178
21+38=59,  1518,  11.6752,  221
